line	tmin	tier	text	tmax
616	188.651300	TokensAlign	i	188.781300
617	188.781300	TokensAlign	try	189.031300
618	189.031300	TokensAlign	to	189.141300
619	189.141300	TokensAlign	describe	189.621300
620	189.621300	TokensAlign	him	189.791300
621	189.791300	TokensAlign	here	190.136100
622	190.136100	TokensAlign	#	190.530100
623	190.530100	TokensAlign	it	190.665100
624	190.665100	TokensAlign	s	190.695100
625	190.695100	TokensAlign	so	190.785100
626	190.785100	TokensAlign	as	190.925100
627	190.925100	TokensAlign	not	191.145100
628	191.145100	TokensAlign	to	191.245100
629	191.245100	TokensAlign	forget	191.585100
630	191.585100	TokensAlign	him	191.874900
631	191.874900	TokensAlign	#	192.548200
632	192.548200	TokensAlign	it	192.683200
633	192.683200	TokensAlign	s	192.713200
634	192.713200	TokensAlign	sad	192.983200
635	192.983200	TokensAlign	to	193.083200
636	193.083200	TokensAlign	forget	193.403200
637	193.403200	TokensAlign	a	193.443200
638	193.443200	TokensAlign	friend	193.917600
639	193.917600	TokensAlign	#	194.506200
640	194.506200	TokensAlign	not	194.711200
641	194.711200	TokensAlign	everyone	195.141200
642	195.141200	TokensAlign	has	195.311200
643	195.311200	TokensAlign	had	195.511200
644	195.511200	TokensAlign	a	195.551200
645	195.551200	TokensAlign	friend	196.030900
646	196.030900	TokensAlign	#	196.549600
647	196.549600	TokensAlign	and	196.684600
648	196.684600	TokensAlign	if	196.814600
